FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant ($\r{A}$),PROPERTY: Film thickness ($\mu$m),PROPERTY: FWHM of 110 peak ($\degree$),PROPERTY: FWHM of 111 peak ($\degree$),PROPERTY: FWHM of 200 peak ($\degree$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Max intensity of 200 peak (counts),PROPERTY: Area of 110 peak,PROPERTY: Position of 110 peak ($\degree$),PROPERTY: Position of 111 peak ($\degree$),PROPERTY: Position of 200 peak ($\degree$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio
Ba0.86927Co0.0Fe0.86003Y0.0Zr0.13997O3,01160,1,1,1,4.0983653,0.22209001,0.58047599,0.41008571,0.86765522,3064.8069,1947.7321,447.24139,9.2722759,30.817358000000002,37.93486,44.174351,5.4000001,44.14201,0.8900012444667039,2.15000300629597,1.490002083433021,137.3271920212124,1.7600149999999999,1.4209954999999999,0.853549775,60.79699863,0.8692687845212819,0.5056782155076542,1.5130259077498627,1.7456534194892397,2.258782425378626
Ba0.87585Co0.0Fe0.8608Y0.0Zr0.1392O3,01160,2,1,2,4.0964947,0.22396,0.54356712,0.42596346,0.75820661,3209.0381,1796.4025,555.68005,9.182004,30.831778999999997,37.958529999999996,44.148478999999995,9.397999800000001,44.14201,0.8899956587575197,2.14998951272884,1.489992732077196,137.3263301462853,1.7604,1.42088,0.8535440000000001,60.769756799999996,0.8758542722424417,0.5055644505552828,1.5131394014475819,1.7456542745039456,2.2597808083754796
Ba0.87968Co0.0Fe0.8621Y0.0Zr0.1379O3,01160,3,1,3,4.0929604,0.22077,0.61030513,0.36028138,,2480.5425,3195.6973,,7.859611,30.859066,37.995876,,13.39599,44.14201,0.8900028535174405,2.1500068933286482,1.4900047772370633,137.32744029774108,1.7610500000000002,1.420685,0.8535342499999999,60.7237641,0.8796771795795799,0.5053819332315609,1.5133593254864015,1.745688327371823,2.261510667744345
Ba0.87442Co0.0Fe0.86813Y0.0Zr0.13187O3,01160,4,1,4,4.0907912,0.21198000000000003,0.6472854,0.33331653,,2205.4863,3588.8506,,7.2126732,30.875837,38.018242,,17.393998999999997,44.14201,0.8900047448613345,2.150011462305471,1.4900079436442566,137.3277321321039,1.764065,1.4197805,0.8534890249999999,60.51042873,0.8744153382252488,0.5045192466611687,1.5143266598643037,1.7457845385232187,2.2694886652491895
Ba0.88486Co0.0Fe0.87046Y0.0Zr0.12954O3,01160,5,1,5,4.090934799999999,0.20205,0.61627698,0.33680508,,2026.7823,3190.2649,,6.892779400000001,30.874723,38.0275,,21.391991,44.14201,0.8899961960786001,2.1499908107516745,1.4899936316372069,137.326413054928,1.7652300000000003,1.4194309999999999,0.85347155,60.42799566,0.8848637819688496,0.5041814358914136,1.514684976410741,1.7458035146422948,2.27256276755561
Ba0.88273Co0.0Fe0.87255Y0.0Zr0.12745O3,01160,6,1,6,4.0902472,0.18720999,0.64601344,0.33728766,,1729.2876,2923.8516,,6.7744837,30.880045000000003,38.036685999999996,,25.389999,44.14201,0.8899971791649784,2.1499931856232624,1.489995277478447,137.32656474515616,1.7662750000000003,1.4191175,0.8534558750000001,60.35405355,0.8827327978017874,0.5038836982717744,1.5150212618921706,1.7458375073912835,2.275349486366954
Ba0.88949Co0.0Fe0.87646Y0.0Zr0.12354O3,01160,7,1,7,4.090306299999999,0.17217000000000002,0.64172983,0.34701583,,1742.3195,2533.6643,,7.1496825,30.879587,38.043064,,29.38802,44.14201,0.8900032586003954,2.1500078718998314,1.4900054554096507,137.327502802041,1.7682300000000002,1.418531,0.8534265500000001,60.21572166,0.8894867432788165,0.5033300298040387,1.5156580095181786,1.745909422913607,2.2805921612538724
Ba0.88991Co0.0Fe0.87842Y0.0Zr0.12158O3,01160,8,1,8,4.0912546999999995,0.15439001,0.60524654,0.37362233,,1755.8708,1685.2018,,7.486235099999999,30.87225,38.027145000000004,,33.386009,44.14201,0.8899982119279534,2.149995680500112,1.489997006486124,137.3267241004832,1.7692100000000002,1.418237,0.85341185,60.14637882,0.8899117878948224,0.5030483729619171,1.5159636086917152,1.745929595992983,2.2832085122108636
Ba0.89607Co0.0Fe0.88428Y0.0Zr0.11572O3,01160,9,1,9,4.0937648,0.13685,0.56026441,0.44783384,0.67410916,1636.7089999999998,850.5361300000001,681.9323099999999,7.3196639999999995,30.852852000000002,38.025847999999996,44.117779,37.384009999999996,44.14201,0.8900031187811615,2.1500075341342666,1.490005221330259,137.32748122793322,1.7721399999999998,1.4173579999999997,0.8533679000000001,59.93905788,0.8960668599590537,0.5022194176426025,1.5169121239194805,1.746029140925337,2.291118447388136
Ba0.88506Co0.0Fe0.88935Y0.0Zr0.11065O3,01160,10,1,10,4.098443,0.12036,0.58267331,0.65478575,0.67829251,1287.8184,313.10037,994.8276400000001,6.7083087,30.816759,37.994728,44.08699,41.381989000000004,44.14201,0.8899950536983988,2.149988051069166,1.4899917191130496,137.32623678566293,1.774675,1.4165974999999997,0.853329875,59.75968635,0.8850649188741858,0.5014974875390699,1.5177127243759545,1.7460911222791182,2.297974523851612
Ba0.86675Co0.0Fe0.89372Y0.0Zr0.10628O3,01160,11,1,11,4.1007123,0.10655,0.55497307,0.56892753,,1582.3977,502.24807999999996,,9.4766512,30.79928,37.922329,,45.37999,44.14201,0.8900042260257128,2.1500102089385194,1.4900070750318113,137.32765207576747,1.7768599999999999,1.4159419999999998,0.8532971,59.60508012,0.8667458843928159,0.5008859595160636,1.5184309872427824,1.7461761853307731,2.303958853830788
Ba0.87482Co0.0Fe0.83047Y0.0Zr0.16953O3,01160,12,2,1,4.0979819,0.33989,0.57831931,0.34013918,,4338.1777,4547.6841,,8.6056242,30.820312,37.9258,,5.4000001,31.643998999999997,0.8900049231961504,2.150011893114296,1.4900082422047911,137.327759649166,1.745235,1.4254295,0.8537714750000001,61.84280187,0.8748151608015371,0.5099627976726059,1.508325661223018,1.7452073368986603,2.2205940788039205
Ba0.8803Co0.0Fe0.82849Y0.0Zr0.17151O3,01160,13,2,2,4.100503,0.34924999,0.65968382,0.3211422,,3287.9287,6081.2344,,7.1117454,30.800894,37.919327,,9.397999800000001,31.643998999999997,0.8899986305321476,2.1499966917349633,1.4899977072953932,137.32678869111038,1.7442449999999998,1.4257264999999997,0.8537863250000001,61.91285229,0.8803013545442758,0.5102486351012315,1.5080007923924847,1.7451646432676151,2.218065936420943
Ba0.8799Co0.0Fe0.82673Y0.0Zr0.17327O3,01160,14,2,3,4.1032996,0.34736999999999996,0.66606557,0.31342435,,3200.0879,6135.4155,,6.871224900000001,30.779379,37.905437,,13.39599,31.643998999999997,0.8899984612568778,2.1499962828115584,1.4899974239019638,137.32676257193623,1.743365,1.4259905,0.853799525,61.97511933,0.8799015212836114,0.5105060966905254,1.507721322695739,1.7451373305717917,2.215837001308703
Ba0.88269Co0.0Fe0.82967Y0.0Zr0.17033O3,01160,15,2,4,4.1057138,0.33614001,0.65284854,0.32421497,,3074.2556,5432.6821,,6.6218758,30.760834000000003,37.888531,,17.393998999999997,31.643998999999997,0.8900032233650353,2.1500077867807033,1.4900053964201154,137.32749736522496,1.7448350000000001,1.4255495,0.853777475,61.87110507,0.8826868031215973,0.510078731435944,1.508195812759012,1.7451917391239624,2.219574019404612
Ba0.87952Co0.0Fe0.82899Y0.0Zr0.17101O3,01160,16,2,5,4.1075425,0.31437001,0.66610819,0.35943276,,2592.0515,3999.2629,,6.4167943,30.746799,37.877899,,21.391991,31.643998999999997,0.8899960844448561,2.149990541074652,1.489993444744759,137.3263958298413,1.7444950000000001,1.4256514999999998,0.853782575,61.89516279,0.879523869465406,0.5101740529178106,1.508075810304729,1.7451673158646497,2.218693507532518
Ba0.88976Co0.0Fe0.83565Y0.0Zr0.16435O3,01160,17,2,6,4.1091332000000005,0.28861001,0.70389599,0.39865696,,1974.1760000000002,2802.365,,5.232791400000001,30.734603999999997,37.86367,,25.391991,31.643998999999997,0.8900032935268454,2.150007956272716,1.490005513882022,137.32750819119224,1.7478250000000002,1.4246525,0.8537326250000001,61.65953865,0.8897567073734813,0.5092061811261684,1.5091455328739576,1.7452835586340885,2.2271900049513627
Ba0.89334Co0.0Fe0.83989Y0.0Zr0.16011O3,01160,18,2,7,4.1077123,0.25871,0.72167981,0.41598713,,1502.2422,2268.1587,,4.912775,30.745496999999997,37.879078,,29.38802,31.643998999999997,0.8899988595274367,2.14999724492583,1.489998090669529,137.32682402508348,1.749945,1.4240165,0.853700825,61.50953169,0.8933411447540058,0.5085867610281676,1.509812031620301,1.7453398743869422,2.2326104629960883
Ba0.89451Co0.0Fe0.84464Y0.0Zr0.15536O3,01160,19,2,8,4.1034093,0.22706001,0.6872558000000001,0.39093563,,1456.9568,2366.542,,5.1323762,30.778538,37.916565000000006,,33.388008,31.643998999999997,0.8900007675239547,2.150001854130902,1.4900012849558344,137.32711842894622,1.75232,1.4233039999999997,0.8536652,61.341481439999995,0.8945092285873476,0.5078985388079544,1.5105710755614419,1.7454164524404114,2.2387316902880823
Ba0.89507Co0.0Fe0.85084Y0.0Zr0.14916O3,01160,20,2,9,4.0981603,0.19663,0.65663242,0.35565543,,1599.1760000000002,2532.6401,,5.8618622,30.818937,37.973827,,37.384009999999996,31.643998999999997,0.8900032275486238,2.1500077968871247,1.4900054034241006,137.32749801075266,1.7554200000000002,1.422374,0.8536187000000001,61.12213164,0.8950667540769996,0.5070030121273676,1.5115629200808822,1.7455163569215395,2.2467720664519786
Ba0.89817Co0.0Fe0.8637Y0.0Zr0.1363O3,01160,21,2,10,4.0936522,0.16711999,0.64664179,0.35232133,,1581.9093,2483.7163,,6.8522549,30.853720000000003,38.028378000000004,,41.381989000000004,31.643998999999997,0.8899995272915391,2.1499988580638303,1.4899992086116778,137.3269270610845,1.7618500000000001,1.420445,0.8535222500000001,60.6671577,0.8981704770480717,0.5051505674668894,1.5136093675318865,1.745706346391881,2.263612344263237
Ba0.89024Co0.0Fe0.8729Y0.0Zr0.1271O3,01160,22,2,11,4.0954027,0.14311001,0.61509997,0.39293182,,1558.9735,1605.8303,,7.6199422000000006,30.840202,38.014652000000005,,45.37999,31.643998999999997,0.8899985559581535,2.149996511584303,1.4899975824467964,137.3267771843431,1.76645,1.4190649999999998,0.85345325,60.341670900000004,0.8902414444335947,0.5038345585542492,1.5150796556777197,1.7458455778881812,2.275819929015971
Ba0.87522Co0.0Fe0.81925Y0.0Zr0.18075O3,01160,23,3,1,4.1028128,0.30171999,0.65001875,0.31682968,,3104.3188,4857.3252,,7.5712175,30.783121,37.889568,,5.4000001,19.148001,0.8899954304657215,2.1499889612374172,1.4899923498808147,137.32629492086082,1.7396250000000002,1.4271124999999998,0.853855625,62.239754250000004,0.8752244936722755,0.5116018857315349,1.506530817463527,1.7450167291230467,2.206408051825828
Ba0.88033Co0.0Fe0.81932Y0.0Zr0.18068O3,01160,24,3,2,4.108182,0.31062001,0.65178919,0.34156039,,2874.3914,3752.5859,,6.9950733,30.741898,37.846874,,9.397999800000001,19.148001,0.8900049436488804,2.150011942522576,1.4900082764458784,137.32776280502225,1.7396600000000002,1.427102,0.8538551000000001,62.23727772000001,0.8803251100918598,0.5115970612929425,1.5065580053300858,1.745036454599707,2.2065194339451617
Ba0.87958Co0.0Fe0.81818Y0.0Zr0.18182O3,01160,25,3,3,4.1201744,0.31266999,0.842282,0.45530006,,1081.8971,1214.8356,,3.4444404000000004,30.650215000000003,37.792789,,13.39599,19.148001,0.8900036525326752,2.1500088235339905,1.4900061149142538,137.32756358579178,1.7390900000000002,1.427273,0.85386365,62.277609780000006,0.8795763902454993,0.5117639987192584,1.506375321003053,1.7450164495399867,2.2050872548081237
Ba0.88237Co0.0Fe0.8206Y0.0Zr0.1794O3,01160,26,3,4,,0.30735999,,,,,,,,,,,17.393998999999997,19.148001,0.8900024674971113,2.1500059608076283,1.49000413097831,137.32738073480428,1.7403,1.42691,0.8538455,62.19199259999999,0.882367553663607,0.5114074972689256,1.506756530410207,1.7450512194282337,2.2081199684025608
Ba0.8802Co0.0Fe0.82276Y0.0Zr0.17724O3,01160,27,3,5,,0.29271999,,,,,,,,,,,21.391991,19.148001,0.889995417683434,2.1499889303588575,1.4899923284812546,137.32629294855386,1.7413800000000001,1.426586,0.8538293000000001,62.115573960000006,0.8802045318829302,0.51108627507117,1.5070868004865166,1.7450705058742473,2.210819029652477
Ba0.88793Co0.0Fe0.82147Y0.0Zr0.17853O3,01160,28,3,6,,0.27491,,,,,,,,,,,25.389999,19.148001,0.8900024560413964,2.1500059331337105,1.4900041117996412,137.32737896718746,1.7407350000000001,1.4267795,0.8538389750000001,62.16121287,0.8879275496777314,0.5112796927972358,1.5068943260915302,1.7450645325714267,2.209213312075895
Ba0.88949Co0.0Fe0.82326Y0.0Zr0.17674O3,01160,29,3,7,,0.25040999,,,,,,,,,,,29.38802,19.148001,0.8900038873136925,2.1500093907016167,1.4900065079746088,137.32759981250274,1.74163,1.4265109999999999,0.85382555,62.09788446,0.8894861149308384,0.5110177749083861,1.5071803797528494,1.7450947772347742,2.2114698593470044
Ba0.89055Co0.0Fe0.82716Y0.0Zr0.17284O3,01160,30,3,8,,0.22384,,,,,,,,,,,33.386009,19.148001,0.8899983467485648,2.149996006190353,1.4899972321970354,137.32674490330356,1.7435800000000001,1.425926,0.8537963,61.95990636,0.8905516542761803,0.5104430807583046,1.5077893286119706,1.745143697855139,2.216380768967056
Ba0.89559Co0.0Fe0.83059Y0.0Zr0.16941O3,01160,31,3,9,,0.19682001,,,,,,,,,,,37.384009999999996,19.148001,0.8900002423465581,2.1500005854439324,1.4900004057262601,137.3270373940739,1.7452950000000003,1.4254115,0.853770575,61.83855639000001,0.8955897561313542,0.509942584117045,1.508336775340968,1.745199997934176,2.2207348523466055
Ba0.90207Co0.0Fe0.8379Y0.0Zr0.1621O3,01160,32,3,10,,0.17016999,,,,,,,,,,,41.381989000000004,19.148001,0.8900036362056537,2.1500087840923094,1.4900060875802517,137.32756106653235,1.74895,1.424315,0.85371575,61.579935899999995,0.9020663144959182,0.5088788337034528,1.5095037151840074,1.7453187288394898,2.230069893049895
Ba0.88975Co0.0Fe0.84538Y0.0Zr0.15462O3,01160,33,3,11,,0.14655,,,,,,,,,,,45.37999,19.148001,0.890000017140123,2.150000041405915,1.4900000286952622,137.32700264472098,1.75269,1.423193,0.8536596500000001,61.31530098,0.889749982864692,0.5077908912244168,1.510687616792603,1.7454263285083955,2.2396856975311055
Ba0.88616Co0.0Fe0.84087Y0.0Zr0.15913O3,01160,34,4,1,,0.16780999,,,,,,,,,,,5.4000001,6.650000099999999,0.8899971931498213,2.1499932194068716,1.4899953008912739,137.3265669030174,1.750435,1.4238695,0.853693475,61.47486027,0.886162794748538,0.5084434401447762,1.5099650771414597,1.7453516332560393,2.233865458170604
Ba0.88651Co0.0Fe0.84015Y0.0Zr0.15985O3,01160,35,4,2,,0.1742,,,,,,,,,,,9.397999800000001,6.650000099999999,0.8900026551235729,2.1500064140625637,1.490004445094521,137.3274096855673,1.750075,1.4239774999999997,0.853698875,61.500333149999996,0.8865073552959813,0.5085511507355815,1.5098598215649925,1.7453513044567628,2.232953915072691
Ba0.88802Co0.0Fe0.83995Y0.0Zr0.16005O3,01160,36,4,3,,0.17747000000000002,,,,,,,,,,,13.39599,6.650000099999999,0.8900040684756655,2.1500098283400906,1.490006811268249,137.32762776579517,1.749975,1.4240074999999999,0.853700375,61.50740895,0.8880159405941069,0.5085810188577925,1.509830410542143,1.745351009443154,2.232700582094593
Ba0.89244Co0.0Fe0.83928Y0.0Zr0.16072O3,01160,37,4,4,,0.17798001,,,,,,,,,,,17.393998999999997,6.650000099999999,0.8899968812320287,2.149992465897597,1.4899947786918233,137.32651877410203,1.7496400000000003,1.424108,0.8537054000000001,61.53111288,0.8924431273292605,0.5086742879861164,1.5097116692677783,1.7453266415930169,2.2318224447186696
Ba0.88918Co0.0Fe0.83408Y0.0Zr0.16592O3,01160,38,4,5,,0.17569,,,,,,,,,,,21.393998999999997,6.650000099999999,0.890002998647733,2.150007243924299,1.4900050202080024,137.3274626913452,1.7470400000000001,1.4248880000000002,0.8537444000000001,61.715083680000006,0.8891770041251599,0.5094348146852579,1.5088956071805635,1.7452589091161268,2.22518474419324
Ba0.89821Co0.0Fe0.83814Y0.0Zr0.16186O3,01160,39,4,6,,0.16949999,,,,,,,,,,,25.389999,6.650000099999999,0.889996301470472,2.1499910653500165,1.489993808079779,137.32642931689384,1.7490700000000001,1.4242789999999999,0.85371395,61.57144494,0.8982137326629356,0.5088397270952403,1.5095294288197865,1.7453080251058084,2.2303590479436592
Ba0.89764Co0.0Fe0.83318Y0.0Zr0.16682O3,01160,40,4,7,,0.16101,,,,,,,,,,,29.38802,6.650000099999999,0.8899959972144045,2.149990330349404,1.4899932987072613,137.3263823701826,1.74659,1.425023,0.85375115,61.74692478,0.8976440371647437,0.5095620593352786,1.5087407924990714,1.7452313811902465,2.2240197849442214
Ba0.90215Co0.0Fe0.83291Y0.0Zr0.16709O3,01160,41,4,8,,0.15057001,,,,,,,,,,,33.386009,6.650000099999999,0.8899977484788936,2.1499945609321585,1.489996230599496,137.3266525902933,1.746455,1.4250635,0.853753175,61.75647711,0.9021522822639378,0.5096024509528694,1.5087008831060218,1.745230675832621,2.2236801549688217
Ba0.90982Co0.0Fe0.8364Y0.0Zr0.1636O3,01160,42,4,9,,0.13883001,,,,,,,,,,,37.384009999999996,6.650000099999999,0.8899963934215713,2.149991287479077,1.4899939620203835,137.32644350494846,1.7482000000000002,1.42454,0.8537270000000001,61.633004400000004,0.9098236869106551,0.509093006190122,1.5092530132387136,1.7452815267882862,2.228131580503456
Ba0.90093Co0.0Fe0.83818Y0.0Zr0.16182O3,01160,43,4,10,,0.12588,,,,,,,,,,,41.381989000000004,6.650000099999999,0.8900005933530434,2.1500014333809476,1.4900009933663312,137.3270915543746,1.7490900000000003,1.424273,0.8537136500000001,61.570029780000006,0.9009293993604482,0.5088363625388306,1.5095430675024717,1.7453170549238974,2.230421067604924
Ba0.87773Co0.0Fe0.84038Y0.0Zr0.15962O3,01160,44,4,11,4.090549899999999,0.1124,0.6167928,0.38496208,,1081.1914,1205.2604,,6.4306288,30.877703000000004,38.062618,,45.37999,6.650000099999999,0.8899977190920152,2.1499944899413848,1.4899961814012388,137.32664805589795,1.7501900000000001,1.423943,0.85369715,61.492195980000005,0.8777322494679735,0.5085149150046653,1.509888029184725,1.7453451512649876,2.2332370127188605
